industry,name,rank,founded,country
IT Services & Consulting,TCS,1,1968 (55 yrs old),USA
IT Services & Consulting,Accenture,46,1989 (34 yrs old),USA
IT Services & Consulting,Cognizant,51,1994 (29 yrs old),USA
Banking,ICICI Bank,49,1994 (29 yrs old),Japan
Banking,HDFC Bank,47,1994 (29 yrs old),USA
IT Services & Consulting,Wipro,50,1945 (78 yrs old),USA
IT Services & Consulting,Infosys,48,1981 (42 yrs old),Switzerland
IT Services & Consulting,Capgemini,52,1967 (56 yrs old),USA
IT Services & Consulting,Tech Mahindra,45,1986 (37 yrs old),France
IT Services & Consulting,Genpact,42,1997 (26 yrs old),China
IT Services & Consulting,HCLTech,43,1991 (32 yrs old),USA
Internet,Amazon,40,1994 (29 yrs old),USA
Banking,Axis Bank,41,1993 (30 yrs old),USA
Software Product,IBM,39,1911 (112 yrs old),UK
BPO,Concentrix Corporation,44,1983 (40 yrs old),UK
Telecom,Reliance jio,38,2007 (16 yrs old),India
Engineering & Construction,Larsen & Toubro Limited,100,1946 (77 yrs old),USA
NBFC,HDB Financial Services,99,2007 (16 yrs old),India
IT Services & Consulting,Vodafone Idea,98,2018 (5 yrs old),USA
BPO,Teleperformance,97,1978 (45 yrs old),Hong Kong
Retail,Reliance Retail,95,2006 (17 yrs old),China
Banking,Kotak Mahindra Bank,96,2003 (20 yrs old),USA
Management Consulting,Deloitte,94,1845 (178 yrs old),UK
Oil & Gas,Reliance Industries,93,1973 (50 yrs old),Germany
Telecom,Bharti Airtel,92,1995 (28 yrs old),USA
Automobile,Tata Motors,91,1945 (78 yrs old),USA
EdTech,BYJU'S,90,2011 (12 yrs old),China
Internet,Flipkart,89,2007 (16 yrs old),USA
Analytics & KPO,WNS,88,1996 (27 yrs old),USA
Automobile,Mahindra & Mahindra,87,1945 (78 yrs old),USA
Banking,IndusInd Bank,86,1994 (29 yrs old),Canada
Consulting,Ernst & Young,85,1989 (34 yrs old),Netherlands
IT Services & Consulting,DXC Technology,80,2017 (6 yrs old),China
BPO,Hinduja Global Solutions,84,2000 (23 yrs old),USA
BPO,Infosys BPM,82,2002 (21 yrs old),USA
Automobile,Maruti Suzuki,81,1983 (40 yrs old),USA
Banking,IDFC FIRST Bank,83,2018 (5 yrs old),France
Banking,HSBC,78,2002 (21 yrs old),USA
Insurance,Bajaj Finserv,79,2007 (16 yrs old),China
Telecom,Ericsson,105,1876 (147 yrs old),China
Analytics & KPO,Conneqt Business Solutions,196,2002 (21 yrs old),USA
IT Services & Consulting,Mphasis,200,1998 (25 yrs old),China
BPO,Startek,198,2017 (6 yrs old),USA
Pharma,Dr. Reddy's,197,1986 (37 yrs old),Spain
IT Services & Consulting,Sutherland Global Services,199,1986 (37 yrs old),USA
Pharma,Cipla Pharmaceutical,194,1935 (88 yrs old),USA
Banking,Yes Bank,192,2004 (19 yrs old),Germany
Internet,Udaan,195,2016 (7 yrs old),USA
Banking,Jana Small Finance Bank,193,2006 (17 yrs old),USA
Chemicals,Asian Paints,189,1942 (81 yrs old),Switzerland
IT Services & Consulting,NTT DATA,190,1988 (35 yrs old),USA
Insurance,ICICI Prudential Life Insurance,191,2000 (23 yrs old),USA
Insurance,HDFC Life,188,2000 (23 yrs old),Japan
Pharma,Lupin,187,1968 (55 yrs old),Brazil
IT Services & Consulting,HCL Group,184,,China
Consulting,PwC,185,1998 (25 yrs old),Canada
Analytics & KPO,EXL Service,186,1999 (24 yrs old),Russia
BPO,iEnergizer,182,2000 (23 yrs old),Switzerland
Defence & Aerospace,Indian Army,181,1895 (128 yrs old),USA
IT Services & Consulting,L&T Infotech,180,1996 (27 yrs old),UK
Building Material,UltraTech Cement,179,1983 (40 yrs old),USA
NBFC,Bajaj Finance,183,1987 (36 yrs old),USA
Financial Services,Home Credit Finance,178,2012 (11 yrs old),France
Consulting,KPMG,176,1987 (36 yrs old),USA
BPO,Paytm,177,2010 (13 yrs old),USA
IT Services & Consulting,Mindtree,267,1999 (24 yrs old),Germany
FMCG,Hindustan Unilever,298,1933 (90 yrs old),USA
FMCG,ITC,300,1975 (48 yrs old),India
Banking,Ujjivan Small Finance Bank,297,2017 (6 yrs old),USA
Financial Services,IIFL,299,1995 (28 yrs old),USA
Banking,Bandhan Bank,296,2001 (22 yrs old),USA
Consumer Electronics & Appliances,OPPO,292,2004 (19 yrs old),Russia
Investment Banking / Venture Capital / Private Equity,JP Morgan Chase,294,2000 (23 yrs old),USA
IT Services & Consulting,Wells Fargo India,291,1852 (171 yrs old),UK
Pharma,Zydus Cadila,293,1952 (71 yrs old),China
Logistics,Delhivery,295,2011 (12 yrs old),USA
NBFC,Shriram Transport Finance,290,1979 (44 yrs old),USA
Pharma,Sun Pharmaceutical Industries,289,1983 (40 yrs old),France
Engineering & Construction,Shapoorji Pallonji Group,288,1865 (158 yrs old),USA
Automobile,Ashok Leyland,287,1948 (75 yrs old),USA
Pharma,Aurobindo Pharma,284,1986 (37 yrs old),USA
Consumer Electronics & Appliances,Vivo,285,2009 (14 yrs old),China
NBFC,Mahindra & Mahindra Financial Services,286,1991 (32 yrs old),USA
Financial Services,AU Small Finance Bank,281,1996 (27 yrs old),UK
Power,Siemens,282,1847 (176 yrs old),USA
Healthcare,Apollo Hospitals,283,1983 (40 yrs old),China
IT Services & Consulting,Hewlett-Packard Enterprise,280,2015 (8 yrs old),Russia
Hardware & Networking,Nokia,278,1865 (158 yrs old),UK
Insurance,Max Life Insurance,277,2000 (23 yrs old),China
Iron & Steel,TATA Steel,279,1907 (116 yrs old),USA
Iron & Steel,TATA Steel,276,1907 (116 yrs old),USA
BPO,First Source,369,2001 (22 yrs old),Saudi Arabia
IT Services & Consulting,Hexaware Technologies,370,1990 (33 yrs old),South Korea
Iron & Steel,JSW Steel,400,1982 (41 yrs old),USA
Software Product,Oracle,398,1977 (46 yrs old),USA
BPO,Intelenet Global Services,399,2000 (23 yrs old),China
Recruitment,Quess,627,2007 (16 yrs old),USA
Telecom,Reliance Communications,395,2002 (21 yrs old),USA
Engineering & Construction,Tata Projects,394,1979 (44 yrs old),USA
Retail,Future Group,397,2013 (10 yrs old),USA
Real Estate,JLL,393,1997 (26 yrs old),USA
Automobile,Hero MotoCorp,390,1984 (39 yrs old),Germany
IT Services & Consulting,Fidelity National Information Services,389,1968 (55 yrs old),Netherlands
Internet,JustDial,391,1996 (27 yrs old),USA
Automobile,TVS Motor,387,1979 (44 yrs old),Canada
IT Services & Consulting,Cyient,388,1991 (32 yrs old),USA
Hospitality,Oyo Rooms,385,2013 (10 yrs old),USA
Insurance,Bajaj Allianz Life Insurance,392,2001 (22 yrs old),USA
Automobile,Hyundai Motor,386,1967 (56 yrs old),Canada
IT Services & Consulting,Wipro BPS,382,2000 (23 yrs old),Japan
Auto Components,Bosch,380,1886 (137 yrs old),Argentina
Engineering & Construction,Megha Engineering & Infrastructures,384,1989 (34 yrs old),USA
IT Services & Consulting,Omega Healthcare,383,2004 (19 yrs old),Australia
Engineering & Construction,L&T Construction,377,1944 (79 yrs old),USA
IT Services & Consulting,Atos Syntel,379,1980 (43 yrs old),Netherlands
Retail,D Mart,378,2000 (23 yrs old),USA
NBFC,Manappuram Finance,381,1949 (74 yrs old),USA
FinTech,SBI Cards & Payment Services,500,1998 (25 yrs old),USA
Consumer Electronics & Appliances,Samsung,496,1938 (85 yrs old),USA
IT Services & Consulting,BNY Mellon,499,2004 (19 yrs old),China
Automobile,Cummins,498,1962 (61 yrs old),USA
Financial Services,Fullerton India,494,2007 (16 yrs old),Denmark
Clinical Research,IQVIA,495,1982 (41 yrs old),USA
IT Services & Consulting,Nagarro,497,1996 (27 yrs old),USA
Pharma,Viatris,493,1961 (62 yrs old),China
Retail,Aditya Birla Fashion and Retail,492,2015 (8 yrs old),USA
Internet,BigBasket,491,2011 (12 yrs old),Germany
Software Product,Amdocs,489,1982 (41 yrs old),USA
